序号,名称,高德ID,等级,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔),介绍
51,藏游坛城,B0FFF5QPPN,3A,风景名胜;风景名胜;风景名胜,罗堆西路16号,91.070118,29.647427,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFF5QPPN/comment/175346801911_1753468021172_03425276.jpg;https://aos-comment.amap.com/B0FFF5QPPN/comment/36e58f48f130c0609b4e396aa86bbdef_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/a8cc57efc9c091d0a9a764a7c66e6331,集文化、旅游、商业于一体的综合体。
52,夏扎大院,B0FFHG2WLI,3A,风景名胜;风景名胜相关;旅游景点,八廓南街鲁固一巷13号,91.133681,29.648377,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFHG2WLI/comment/content_media_external_file_1000019457_ss__1759986597655_31449622.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/970c2748-0e62-41d2-9e8f-3c2ab8787a59.jpg,拉萨保存较好的古建筑大院，具有较高的历史价值。
53,达孜工业园,B0FFFRS1K4,3A,商务住宅;产业园区;产业园区,虎峰大道与南山嘴路交叉口西280米,91.332707,29.667385,[],西藏自治区,拉萨市,达孜区,[],,,达孜区的工业发展区域。
54,藏草宜生,B0FFGG7QBI,3A,公司企业;公司;公司,东嘎镇经济技术开发区格桑路A1-11,91.017129,29.635959,13123900416,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/76a7df6fa0025d23135f833b56f0fb32,专注于西藏特色植物资源的开发利用。
55,中国西藏文化旅游创意园区,B0FFG6Q4X3,3A,商务住宅;产业园区;产业园区,鲁如村,91.141571,29.615196,[],西藏自治区,拉萨市,城关区,[],,,集文化创意、旅游休闲、演艺娱乐为一体的园区。
56,西藏毛主席像章博物馆,B0KBGUAI8P,3A,科教文化服务;博物馆;博物馆,北京大道21号,91.082385,29.616746,[],西藏自治区,拉萨市,堆龙德庆区,[],,https://store.is.autonavi.com/showpic/b9e3fb6a193c36739b58ebb7ec1d20b8;https://store.is.autonavi.com/showpic/e7afea6736bddc2c6e883b9b22f843d3;https://aos-comment.amap.com/B0KBGUAI8P/comment/content_media_external_images_media_1000086447_ss__1728794921404_49691122.jpg,收藏了大量毛主席像章，具有红色教育意义。
57,林周农场,B0FFKJ7NV7,3A,公司企业;公司企业;公司企业,强嘎乡中心小学北侧约60米,91.135889,29.943639,[],西藏自治区,拉萨市,林周县,[],,http://aos-cdn-image.amap.com/sns/ugccomment/6a958b35-0749-4643-88e9-d862366b0700.jpg;https://aos-comment.amap.com/B0FFKJ7NV7/comment/content_media_external_file_61815_ss__1766227051983_16843386.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/2b9c7bc6-8f66-4538-9809-b72fedcde240.jpg,知青岁月的记忆，红色旅游景点。
58,南山公园,B0FFI7J66Z,3A,风景名胜;风景名胜相关;旅游景点,川藏公路,91.118424,29.63312,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFI7J66Z/comment/content_media_external_file_118446_ss__1752393973085_37648509.jpg;https://aos-comment.amap.com/B0FFI7J66Z/comment/4BD3A94B_5988_4F98_A42C_431CE731C3FE_L0_001_1126_200_1753352581418_56474992.jpg;https://aos-comment.amap.com/B0FFI7J66Z/comment/3F840A0B_FCD1_4515_8C04_BC3214D6B4EC_L0_001_1500_200_1750897247736_46196425.jpg,拉萨市民休闲的好去处，登高可俯瞰拉萨全景和布达拉宫。
59,日喀则珠峰现代农业科技创新博览园(装修中),B0FFLFENOJ,3A,科教文化服务;科教文化场所;科教文化场所,洛江镇觉如村日喀则珠峰现代农业,89.251934,29.127851,18228673000,西藏自治区,日喀则市,白朗县,[],,,展示现代农业科技成果。
60,纳唐寺,B037C0094S,3A,风景名胜;风景名胜;寺庙道观,纳唐村距日喀则15公里,88.763996,29.191393,[],西藏自治区,日喀则市,桑珠孜区,[],,http://store.is.autonavi.com/showpic/e61530bb958670de7880bcb9bbdc5501;http://store.is.autonavi.com/showpic/40cb40e554e4ba62b7620c76bf940295;http://store.is.autonavi.com/showpic/7cfc3ac5be1e5641c72287b4a6f6d192,藏传佛教古寺，曾是印经重镇。
61,恩贡寺,B0FFGS7B91,3A,风景名胜;风景名胜;寺庙道观,江当乡拉圭村,89.183191,29.30296,[],西藏自治区,日喀则市,桑珠孜区,[],,https://aos-comment.amap.com/B0FFGS7B91/comment/A50EC69E_7932_4251_8E86_4B562FF67F99_L0_001_4032_302_1754800546445_14219338.jpg;https://aos-comment.amap.com/B0FFGS7B91/comment/730B3122_4D2C_4F46_95C7_C7BF0CD2E8D4_L0_001_4032_302_1754800546445_52647524.jpg;https://aos-comment.amap.com/B0FFGS7B91/comment/%5B2025-08-10-12-35-44%5D22340611-E1C3-4EA3-B478-E37FE53388A_1754800546430_02764446.jpg,历史悠久的寺庙，具有独特的宗教文化。
62,俄尔寺,B037C0OU77,3A,风景名胜;风景名胜;寺庙道观,曲美乡边容村,88.827687,29.115914,[],西藏自治区,日喀则市,桑珠孜区,[],,http://store.is.autonavi.com/showpic/8f028356f06ec4201fefed387afd10e4;https://aos-comment.amap.com/B037C0OU77/comment/B57386D6_959D_466E_8133_CCAE05BC9F95_L0_001_1658_200_1748240235968_84004188.jpg;https://aos-comment.amap.com/B037C0OU77/comment/6E28C5C3_69B1_48B9_A11A_4FE2695D7EFB_L0_001_1642_200_1748240235968_20276393.jpg,萨迦派寺院，建筑宏伟。
63,夏鲁寺,B037C002XF,3A,风景名胜;风景名胜;寺庙道观,桑珠孜区夏鲁村东南20公里处的春堆区,88.994665,29.124158,[],西藏自治区,日喀则市,桑珠孜区,[],,https://aos-comment.amap.com/B037C002XF/comment/content_media_external_file_1000019986_ss__1755474682655_12957976.jpg;https://aos-comment.amap.com/B037C002XF/comment/content_media_external_file_1000014267_ss__1767173256871_77726308.jpg;http://store.is.autonavi.com/showpic/c223267dd6d97f8cc72bfe0f6025402a,汉藏建筑风格结合的典范，壁画艺术价值极高。
64,扎西吉培寺转经道,B0GUCH8SCZ,3A,风景名胜;风景名胜;寺庙道观,通门乡坚白村扎西吉培寺后山,88.202558,29.432452,[],西藏自治区,日喀则市,谢通门县,[],,,信徒转经的道路，充满宗教氛围。
65,卡嘎温泉旅游小镇,B0GUCS3IVJ,3A,风景名胜;风景名胜相关;旅游景点,卡嘎镇卡嘎村,88.238206,29.443338,[],西藏自治区,日喀则市,谢通门县,[],,https://aos-comment.amap.com/B0GUCS3IVJ/comment/68E90A97_0CFF_41AE_BD09_AABBC8F6C2D3_L0_001_2000_112_1758074219676_17095009.jpg;https://aos-comment.amap.com/B0GUCS3IVJ/comment/2B825002_6407_4A59_A3A8_805C15FC2B0C_L0_001_2016_113_1758074219690_35139398.jpg,著名的温泉疗养胜地。
66,曲果林寺,B037D0071G,3A,风景名胜;风景名胜;寺庙道观,,90.893177,29.233311,[],西藏自治区,山南市,贡嘎县,[],,http://store.is.autonavi.com/showpic/50cca6e91680b62a584eff879aaa3096;http://store.is.autonavi.com/showpic/cade548950cf0374eba3dc8cc1c1d60a,古老的寺庙，环境清幽。
67,热拉雍仲林寺,B037C0051K,3A,风景名胜;风景名胜;寺庙道观,奴马乡热拉村,89.649363,29.356216,0892-8822216,西藏自治区,日喀则市,南木林县,[],,http://aos-cdn-image.amap.com/sns/ugccomment/20fe7dbf-906c-4ce5-9af2-08c6ff3a8be4.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/2a66a2e7-ccbb-4dd5-ae99-b34025d20559.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/0eb85457-9d36-4678-a47e-12bcd60ffcd0.jpg,苯教重要寺庙。
68,拉孜曲德寺,B037C009HP,3A,风景名胜;风景名胜;寺庙道观,曲德寺(拉柳公路西),87.689741,29.15645,[],西藏自治区,日喀则市,拉孜县,[],,http://store.is.autonavi.com/showpic/c1733c9077b0c4aa7ea5caaaff642354;http://store.is.autonavi.com/showpic/005f23eb8a72e0fb4d7664e4e226292b;http://store.is.autonavi.com/showpic/a601ca204be1fe2f28d2d9f33a13d0d9,位于拉孜县的寺庙。
69,平措林寺,B0GUCA4JKE,3A,风景名胜;风景名胜;寺庙道观,彭措林乡平措林寺(彭措林寺旁),88.004481,29.36478,[],西藏自治区,日喀则市,拉孜县,[],,https://aos-comment.amap.com/B0GUCA4JKE/comment/content_media_external_file_1000019451_ss__1753923416791_21335914.jpg;https://aos-comment.amap.com/B0GUCA4JKE/comment/content_media_external_file_1000019448_ss__1753923416792_93284127.jpg;https://aos-comment.amap.com/B0GUCA4JKE/comment/content_media_external_file_1000019449_ss__1753923416791_57806605.jpg,觉囊派寺院，建筑保存完好。
70,曲德寺,B037C0PF2D,3A,风景名胜;风景名胜;寺庙道观,多雄路17号,87.238667,29.292588,[],西藏自治区,日喀则市,昂仁县,[],,http://aos-cdn-image.amap.com/sns/ugccomment/8f0d2923-a87d-4618-9a65-3245b569dd5d.jpg,具有历史意义的寺庙。
71,日吾其金塔,B0GUUUZK9K,3A,风景名胜;风景名胜相关;旅游景点,日吾其村,86.617754,29.189057,[],西藏自治区,日喀则市,昂仁县,[],,http://store.is.autonavi.com/showpic/96c69f9f08b83b65ef3f7afaa8ef250b,造型独特的佛塔，具有较高的艺术价值。
72,帕巴寺,B0FFKZF9TE,3A,风景名胜;风景名胜;寺庙道观,吉隆镇,85.330024,28.393011,[],西藏自治区,日喀则市,吉隆县,[],,http://store.is.autonavi.com/showpic/c56ad08de32640c8b22a338908863e1d;https://store.is.autonavi.com/showpic/db037d8fb6ad8350e04db3586fa05312;https://store.is.autonavi.com/showpic/39a88a532fbc6f21d5a28d83007e6d97,吉隆县的古寺，尼泊尔风格建筑。
73,吉布峡谷,B037C00ACU,3A,风景名胜;风景名胜相关;旅游景点,吉隆镇南部约2公里处,85.332289,28.377449,[],西藏自治区,日喀则市,吉隆县,[],,http://store.is.autonavi.com/showpic/e26ffc1e42cf381855708ef2debbcb4d;http://aos-cdn-image.amap.com/sns/ugccomment/727ab096-6d4c-4f17-a793-625047222595.jpg;https://aos-comment.amap.com/B037C00ACU/comment/content_media_external_file_1000013129_ss__1764400415542_40393443.jpg,峡谷幽深，景色险峻。
74,帕拉庄园,B037C00AOT,3A,风景名胜;风景名胜;国家级景点,江热乡班觉伦布村,89.575504,28.899952,[],西藏自治区,日喀则市,江孜县,[],,https://aos-comment.amap.com/B037C00AOT/comment/content_media_external_file_1000019951_ss__1755388902326_57806974.jpg;http://store.is.autonavi.com/showpic/3ff0b99ac736ff20536f115a8ae82904;http://store.is.autonavi.com/showpic/a6485b901444224deaee56f187a20af8,西藏目前保存最完整的奴隶主庄园。
75,嘎布嘎久生态民俗村,B0GUFCEJ7C,3A,地名地址信息;地名地址信息;地名地址信息,仁布县,89.88405,29.314976,[],西藏自治区,日喀则市,仁布县,[],,,体验民俗风情和乡村生活。
76,强钦寺,B037C0OWRH,3A,风景名胜;风景名胜;寺庙道观,仁布乡清真饭馆,89.841411,29.232785,[],西藏自治区,日喀则市,仁布县,[],,https://aos-comment.amap.com/B037C0OWRH/comment/content_media_external_file_1000019492_ss__1754009369656_29852587.jpg;https://aos-comment.amap.com/B037C0OWRH/comment/content_media_external_file_1000019490_ss__1754009369656_69596174.jpg;https://aos-comment.amap.com/B037C0OWRH/comment/content_media_external_file_1000019493_ss__1754009369655_50901914.jpg,苯教寺庙，历史悠久。
77,多情湖,B0LUSU5T7C,3A,风景名胜;风景名胜;风景名胜,562国道东南侧,89.340294,28.168858,[],西藏自治区,日喀则市,亚东县,[],,https://aos-comment.amap.com/B0LUSU5T7C/comment/content_media_external_images_media_1000010575_ss__1751366881820_55637334.jpg;https://aos-comment.amap.com/B0LUSU5T7C/comment/content_media_external_images_media_1000010591_ss__1751366881819_40008727.jpg;https://aos-comment.amap.com/B0LUSU5T7C/comment/content_media_external_images_media_1000010592_ss__1751366881818_49214654.jpg,湖水清澈，背靠雪山，景色浪漫。
78,野人谷,B0G2NC5KXX,3A,风景名胜;风景名胜相关;旅游景点,下亚东乡阿桑村,88.996993,27.341579,[],西藏自治区,日喀则市,亚东县,[],,http://store.is.autonavi.com/showpic/b24af95a00b5b5af89ac4d289e42611d;http://store.is.autonavi.com/showpic/34068acaa6a62703448446097cfefd97;http://store.is.autonavi.com/showpic/1ae7143159bb0c76bd11dba1f06294c9,充满神秘色彩的峡谷。
79,乃堆拉杜鹃花海景区,B0GU9CTVHL,3A,风景名胜;风景名胜相关;旅游景点,下亚东乡,88.834021,27.394192,[],西藏自治区,日喀则市,亚东县,[],,http://store.is.autonavi.com/showpic/106be384f23d402f86610396fa623b72;http://store.is.autonavi.com/showpic/1958ca25444e20a01af8e3f4bd6e903f;https://aos-comment.amap.com/B0GU9CTVHL/comment/file_media_Photo_5278_IMG_1748510185_4680_IMG_20250529_171445_jpg_ss_2.jpg,杜鹃花盛开时，漫山遍野，美不胜收。
80,拉萨东嘎农副产品批发市场,B037B023WN,3A,购物服务;综合市场;农副产品市场,青藏路南50米,90.985075,29.651925,13258395383,西藏自治区,拉萨市,堆龙德庆区,[],,https://aos-comment.amap.com/B037B023WN/comment/c5120664d0e38ed60e2ac4c995b6d7a4_2048_2048_80.jpg;https://aos-comment.amap.com/B037B023WN/comment/b8f4b9952b44cc2fcb12fb84106b0c71_2048_2048_80.jpg;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B037B023WN/comment/content_media_external_images_media_69664.jpg,拉萨重要的农副产品集散地。
81,曲桑寺,B0FFGTC5F3,3A,风景名胜;风景名胜;风景名胜,娘热乡,91.124056,29.709883,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/5a0aa7c4f3f3743fe53ecbd0c134ad6f;http://store.is.autonavi.com/showpic/d1ca0926a916f5ff8e98abe85c5a5a2f;http://store.is.autonavi.com/showpic/0592ea0c691573ed85d968a959134462,著名的尼姑寺，环境幽雅。
82,云天湖公园,B0LK57VB7E,3A,风景名胜;公园广场;公园,达瓦路e区,91.139862,29.622912,[],西藏自治区,拉萨市,城关区,[],,https://store.is.autonavi.com/showpic/1964fae716aa6738de3d5fc060eb114c;https://store.is.autonavi.com/showpic/ddacc4bd7e4333246a34a83b09e12ca6,高山湖泊公园，景色宜人。
83,阿布入寺,B0FFKJTHUF,3A,风景名胜;风景名胜;寺庙道观,江嘎西路西150米,87.761327,28.36312,[],西藏自治区,日喀则市,定结县,[],,https://aos-comment.amap.com/B0FFKJTHUF/headerImg/01304471328eb403e7ebfc8b51c460a5_2048_2048_80.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/ad944baa-ae7c-4721-b15b-ebb803272b40.jpg;https://aos-comment.amap.com/B0FFKJTHUF/headerImg/f0afdb9e6bb7620048771d510f609f46_2048_2048_80.jpg,山南地区的古老寺庙。
84,羌姆石窟,B0FFKKF40E,3A,风景名胜;风景名胜相关;旅游景点,西藏自治区日喀则市定结县,87.966983,28.131972,[],西藏自治区,日喀则市,定结县,[],,http://store.is.autonavi.com/showpic/de7560869d79a32f53581570cf4cef44;http://store.is.autonavi.com/showpic/d642ac030deb852642daa17f8454291d;http://store.is.autonavi.com/showpic/2569950259f2a543b4e42416dd06ea0f,珍贵的石窟艺术遗存。
85,美女湖,B0G1FCPBXT,3A,风景名胜;风景名胜;风景名胜,,87.538475,27.909162,[],西藏自治区,日喀则市,定结县,[],,,湖水碧蓝，传说动人。
86,江孜县红河谷现代农业科技示范园,B0G0SC07JA,3A,商务住宅;产业园区;产业园区,江孜镇东郊村,89.628299,28.896639,17808929966,西藏自治区,日喀则市,江孜县,[],,,展示高原现代农业技术。
87,曲登尼玛寺,B0FFM3V2VU,3A,风景名胜;风景名胜;寺庙道观,嘎定线,88.246483,28.054008,[],西藏自治区,日喀则市,岗巴县,[],,http://store.is.autonavi.com/showpic/c5c18b66fd01a59fdc25f3a5d217a193;https://aos-comment.amap.com/B0FFM3V2VU/comment/%5B2025-08-22-09-32-13%5DCEC64A69-801B-4141-876D-C912D7CE032_1755826335154_21483059.jpg;https://aos-comment.amap.com/B0FFM3V2VU/comment/75455EB7_95EB_4A3A_82AC_9128FDFADE6A_L0_001_2000_150_1755826283167_83088003.jpg,著名的神湖和寺庙，信徒众多。
88,敏珠林寺藏香,B037B0OK6E,3A,风景名胜;风景名胜;寺庙道观,八廓北街12号,91.134151,29.650883,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B037B0OK6E/comment/2117BA8F_8FB4_45E8_A2F2_123CC482227B_L0_001_1500_200_1757818264610_61847645.jpg;https://aos-comment.amap.com/B037B0OK6E/comment/content_media_external_file_1000026891_ss__1767283135411_04202365.jpg;https://aos-comment.amap.com/comment/content_service_19c7537c36df90b430e63a25bda833e3_1767283138407_12155039.jpg,敏珠林寺制作的藏香，闻名遐迩。
89,拉加里王宫,B037D0MKS8,3A,风景名胜;风景名胜相关;旅游景点,曲松镇康桑路与甘旦路交叉口西南200米,92.19582,29.062931,[],西藏自治区,山南市,曲松县,[],,https://aos-comment.amap.com/B037D0MKS8/comment/content_media_external_file_1000061044_ss__1764002999587_28149356.jpg;https://aos-comment.amap.com/B037D0MKS8/comment/content_media_external_file_1000061066_ss__1764002999597_98382335.jpg;https://aos-comment.amap.com/B037D0MKS8/comment/content_media_external_file_1000061061_ss__1764002999594_33451062.jpg,西藏历史上贵族王宫遗址。
90,藏王陵群,B037D004CV,3A,风景名胜;风景名胜;风景名胜,青瓦达孜路,91.684642,29.013376,[],西藏自治区,山南市,琼结县,[],,http://store.is.autonavi.com/showpic/cc73dece5b8fa81ac0e8d2c906bafd11;https://aos-comment.amap.com/B037D004CV/comment/1AC04760_63A6_455A_9E1D_3CDD449078D6_L0_001_1364_2048_1759082445578_31300126.jpg;https://aos-comment.amap.com/B037D004CV/comment/content_media_external_images_media_143416_ss__1730880776091_77266435.jpg,吐蕃时期历代赞普的陵墓群，气势宏大。
91,普姆雍措,B0L61S6941,3A,风景名胜;风景名胜;风景名胜,打隆镇普莫雍错,90.451435,28.619657,[],西藏自治区,山南市,浪卡子县,[],,http://store.is.autonavi.com/showpic/c9b54cc4f582361cf7689bd9e097c540;https://aos-comment.amap.com/B037D0MKP2/comment/335cea29dbb0607f7a3f977202e60914_2048_2048_80.jpg;https://aos-comment.amap.com/B037D0MKP2/comment/e04860957790f8619c08f493c08f107a_2048_2048_80.jpg,被称为“飞翔的蓝宝石”，湖水湛蓝。
92,达拉岗布寺,B0HU9C8V5G,3A,风景名胜;风景名胜;寺庙道观,306省道,92.809207,29.119776,[],西藏自治区,山南市,加查县,[],,http://store.is.autonavi.com/showpic/29297c608acb72bcf940941cd3707ed8;http://store.is.autonavi.com/showpic/35e622239d09d993d07ecb8a33576f4b;http://aos-cdn-image.amap.com/sns/ugccomment/5095ac78-52fb-45cb-8eab-55e41040e2d9.png,达波噶举派的祖寺。
93,沃卡温泉酒店,B0G0PABQ4G,3A,住宿服务;宾馆酒店;宾馆酒店,贡桑线与沃巴线交叉口西北360米,92.316095,29.379019,[],西藏自治区,山南市,桑日县,[],,http://aos-cdn-image.amap.com/sns/ugccomment/3fd2bd81-ba86-4bc8-8dc7-16267aed73ae.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/fa39856f-e3c5-4d91-abfd-e25ed1f84ca0.jpeg;https://aos-comment.amap.com/B0G0PABQ4G/comment/E8198814_89B9_420B_8600_9FDD19027B8B_L0_001_1170_87_1765803565485_46248463.jpg,享受温泉浴的好去处。
94,勒布沟,B0FFJMA9XZ,3A,地名地址信息;地名地址信息;地名地址信息,错那市,91.799446,27.869054,[],西藏自治区,山南市,错那市,[],,http://store.is.autonavi.com/showpic/e9801a00539069ad5fdcb63790bcbb14;http://store.is.autonavi.com/showpic/40c73c4229d22fe98f254fba2ab2215d;http://store.is.autonavi.com/showpic/37f4bff8eee06ead412ade359d4ce7ae,气候湿润，植被茂密，天然氧吧。
95,拉姆拉措客栈(拉萨仙足岛店),B0FFFAMUYY,3A,住宿服务;住宿服务相关;住宿服务相关,仙足岛南一区19号,91.133821,29.638279,18008991805,西藏自治区,拉萨市,城关区,[],,https://store.is.autonavi.com/showpic/7455d31692b1f5d17249408cd830ae9b;https://store.is.autonavi.com/showpic/ac603b0087d8faa1823ac00990373b4f;https://store.is.autonavi.com/showpic/cb56dabb0bda9aef438ed54872846b73,特色客栈，提供舒适住宿。
96,夯错湿地暗夜星空景区,B0J1Y5KJDB,3A,风景名胜;风景名胜;风景名胜,罗玛镇显曲弄,91.790998,31.285136,19809860111,西藏自治区,那曲市,色尼区,[],,http://store.is.autonavi.com/showpic/a0cd8a5ae6da10513a83a97effe08edf;http://store.is.autonavi.com/showpic/f75898bb35a1a60c41b40d307a2dada5;http://store.is.autonavi.com/showpic/acec51ef5cbc398bc7505276b1a87aef,观赏星空的绝佳地点。
97,纳木措国家风景区,B0FFFS3L3J,3A,风景名胜;风景名胜;风景名胜,当扎路,91.129505,30.544918,[],西藏自治区,拉萨市,当雄县,[],,http://store.is.autonavi.com/showpic/75d2306cb0ade904bad4ce0afb1d34c4;http://store.is.autonavi.com/showpic/7ade357c3c8219b54216774122548b23;http://store.is.autonavi.com/showpic/dabdaa4a1daa63aa21933e8a1158055c,西藏“三大圣湖”之一，海拔最高的咸水湖，景色绝美。
98,嘉黎独俊大峡谷,B0K11S5QLV,3A,风景名胜;风景名胜;风景名胜,,93.587961,30.590534,[],西藏自治区,那曲市,嘉黎县,[],,http://store.is.autonavi.com/showpic/807ff2e31cd753a79b641246cbfa42e7;http://store.is.autonavi.com/showpic/74e1b4b30bf0bc90c6b4866a3cdd97f0;http://store.is.autonavi.com/showpic/73f0e933ffd09f8956654af0fc0f74c7,风景秀丽的峡谷。
99,天下第一道班,B0G3A7I22K,3A,公司企业;公司;公司,G109(京拉线),91.904425,32.800585,[],西藏自治区,那曲市,安多县,[],,http://store.is.autonavi.com/showpic/03bdabc33f38571e396ac4b4f4c4c46d,青藏公路上的守护者，弘扬道班精神。
100,聂荣县,B038000TVA,3A,地名地址信息;普通地名;区县级地名,聂荣县,92.303377,32.10775,[],西藏自治区,那曲市,聂荣县,[],,https://aos-comment.amap.com/B038000TVA/comment/content_media_external_images_media_100003140_1744635673872_00239004.jpg;https://aos-comment.amap.com/B038000TVA/comment/content_media_external_images_media_100003140_1744635605838_23418622.jpg;https://aos-comment.amap.com/B038000TVA/comment/content_media_external_images_media_100003140_1744635605835_98606939.jpg,那曲市下辖县，牧业为主。
101,那曲乡村快运,B0L2TZ2YHQ,3A,生活服务;物流速递;物流速递,文化西路南一条街,92.041487,31.46906,17889173966,西藏自治区,那曲市,色尼区,[],,https://store.is.autonavi.com/showpic/9ea9c7eed2cb2856f3d9eed4d09ca305,服务乡村的物流站点。
102,强巴林寺,B0LU1UFYH5,3A,生活服务;生活服务场所;生活服务场所,热日路,91.796692,30.030187,[],西藏自治区,拉萨市,墨竹工卡县,[],,http://store.is.autonavi.com/showpic/08b12684bece9ba4200d09308b393b73;http://store.is.autonavi.com/showpic/0d5291a27fef0ac8fa6729dd2c683703;http://store.is.autonavi.com/showpic/30181251f336e2cd7445a198c8306c0c,昌都地区最大的格鲁派寺院。
103,色拉寺,B037B00980,3A,风景名胜;风景名胜;寺庙道观,色拉路1号,91.134823,29.695223,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B037B00980/comment/4AB61F10_CBB0_4EB5_8898_6254F1486C6E_L0_001_1920_108_1763001175221_61497347.jpg;https://aos-comment.amap.com/B037B00980/comment/file_media_Photo_3498_IMG_1759300897_599_IMG_20251001_143957_jpg_ss_2.jpg;https://aos-comment.amap.com/B037B00980/comment/18A6C274_A8F4_49CE_AF67_3A2135CB44CE_L0_001_1512_201_1751621182631_34446899.jpg,拉萨三大寺之一，以辩经闻名。
104,西藏嘎玛物流,B0FFJZV4F0,3A,生活服务;生活服务场所;生活服务场所,当热路,91.176981,29.662968,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/dfe3d56ef3bb433a03c70123a05f9ced,物流服务企业。
105,谷布山景区,B0JU2S9OKE,3A,风景名胜;风景名胜;风景名胜,,97.104663,31.448233,[],西藏自治区,昌都市,卡若区,[],,http://store.is.autonavi.com/showpic/3c60658c72a46e6d04864f665410cf52;http://store.is.autonavi.com/showpic/cf4a1310bd7909c6e6a30a931ee81efb;http://store.is.autonavi.com/showpic/f6b6a82845d123b77d273b9e8b0a15ee,朝圣圣地，山上有修行洞。
