序号,名称,高德ID,等级,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔),介绍
106,布托湖,B0FFG3MOXG,3A,风景名胜;风景名胜相关;旅游景点,丁青北约25公里处,95.563498,31.630698,[],西藏自治区,昌都市,丁青县,[],,https://aos-comment.amap.com/B0FFG3MOXG/comment/89d10348b353bab8b0756803932741a8_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFG3MOXG/comment/8fd2f43a3fa18006a9a07b32f1856471_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/b6df16f6b7c7de522394b087af48c6dc,两个湖泊组成，生态环境良好。
107,然乌湖景区,B037F003S9,3A,风景名胜;风景名胜;风景名胜,然乌镇查卡,96.797833,29.443242,[],西藏自治区,昌都市,八宿县,[],,https://store.is.autonavi.com/showpic/26f5d5500df3d535b0d4a4d0a84f2889;https://store.is.autonavi.com/showpic/4defca74370e6078a48a6dbcc48656bb;https://aos-comment.amap.com/B037F003S9/comment/content_media_external_file_118350_ss__1759669672994_84714791.jpg,川藏线上的明珠，湖水静谧。
108,西藏旅游花园,B0FFI11JT6,3A,商务住宅;住宅区;住宅小区,北京大道,91.079249,29.61961,[],西藏自治区,拉萨市,堆龙德庆区,[],,https://aos-comment.amap.com/default_poi/comment/content_media_external_images_media_1000004320_ss__1731633644202_13890542.jpg;https://aos-comment.amap.com/default_poi/comment/content_media_external_images_media_1000004317_ss__1731633644203_94277229.jpg,旅游休闲场所。
109,拉萨直升机观光旅游区,B0JUT1QEYF,3A,风景名胜;风景名胜相关;旅游景点,慈觉林大道与102乡道交叉口北40米,91.146911,29.633621,[],西藏自治区,拉萨市,城关区,[],,,提供直升机空中游览拉萨服务。
110,雪顿古镇,B0FFMBBMGI,3A,商务住宅;住宅区;住宅区,次觉林Y102乡道西段,91.135033,29.62047,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/d82088958ec9a47dbb2c7f7a22ec81cb;http://store.is.autonavi.com/showpic/cfb118c7df921f8c232eda18b1e23781;https://aos-comment.amap.com/B0FFMBBMGI/comment/content_media_external_file_1000043954_ss__1751015426067_66939445.jpg,具有藏式风情的古镇。
111,吉曲温泉小镇营销中心,B0IASCLQLZ,3A,生活服务;生活服务场所;生活服务场所,吉曲温泉小镇,91.129761,29.610528,[],西藏自治区,拉萨市,城关区,[],,https://store.is.autonavi.com/showpic/346e113f30877ffa8037f12400cade7d;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0IASCLQLZ/comment/content_media_external_images_media_79711.jpg;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0IASCLQLZ/comment/content_media_external_images_media_100229_1650527060915_352f1488.jpg,温泉地产项目。
112,夏乌民俗村,B0L327463U,3A,风景名胜;风景名胜;风景名胜,317国道,98.365864,31.5778,[],西藏自治区,昌都市,江达县,[],,,以制作陶器闻名的民俗村。
113,雪巴沟风景区,B0G35UV21X,3A,风景名胜;风景名胜相关;旅游景点,岗托镇,98.58146,31.519396,[],西藏自治区,昌都市,江达县,[],,http://store.is.autonavi.com/showpic/d594974a81a19a546d8f88aafe43ac52;https://aos-comment.amap.com/B0G35UV21X/comment/2faf0733bc46245470e6132179248121_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/93332560785f77abd742a952478774a7,自然风光优美。
114,大峡谷山珍宝天海路店,B0FFHC27G7,3A,餐饮服务;中餐厅;中餐厅,天海路天海商业区63号,91.101225,29.659831,0891-6502233;0891-6502255,西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFHC27G7/comment/content_media_external_file_1000042646_ss__1762683671202_50036054.jpg;https://aos-comment.amap.com/B0FFHC27G7/comment/content_media_external_file_100003781_1761486286706_69991468.jpg;https://aos-comment.amap.com/B0FFHC27G7/comment/10A2FA3E_C71D_41D2_BA8A_A00F0FB92BEB_L0_001_1915_84_1762763595591_60114238.jpg,特产商店。
115,查杰玛大殿景区,B037F0058G,3A,风景名胜;风景名胜相关;旅游景点,类乌齐镇,96.503383,31.368894,[],西藏自治区,昌都市,类乌齐县,[],,https://aos-comment.amap.com/B037F0058G/comment/b170dc2f9bc911c6f85155e927a1c287_2048_2048_80.jpg;https://store.is.autonavi.com/showpic/ba8ec6be1ef5fb0607ed0b705092dfa4;https://aos-comment.amap.com/B037F0058G/comment/content_media_external_file_42406_ss__1759415158981_91599376.jpg,类乌齐寺的大殿，建筑风格独特。
116,雪顿古镇,B0FFMBBMGI,3A,商务住宅;住宅区;住宅区,次觉林Y102乡道西段,91.135033,29.62047,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/d82088958ec9a47dbb2c7f7a22ec81cb;http://store.is.autonavi.com/showpic/cfb118c7df921f8c232eda18b1e23781;https://aos-comment.amap.com/B0FFMBBMGI/comment/content_media_external_file_1000043954_ss__1751015426067_66939445.jpg,具有藏式风情的古镇。
117,卓玛百货,B0FFH3Y7IY,3A,购物服务;购物相关场所;购物相关场所,北京中路则当饭店右侧,91.093625,29.657475,18289195933,西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/ae59fad2e48cc2d8db9dd338e8326a52,百货商店。
118,江野民居,B0L6ASMD55,3A,住宿服务;旅馆招待所;旅馆招待所,阿达次珠家庭旅馆北侧60米,94.030486,30.042291,[],西藏自治区,林芝市,工布江达县,[],,http://store.is.autonavi.com/showpic/490e139643ff22b0777d2dec9bbc19c1,特色民居。
119,美玉草原风景区,B037F0N5KZ,3A,风景名胜;风景名胜相关;旅游景点,加帮线与565乡道交叉口东南150米,97.41719,30.166111,[],西藏自治区,昌都市,左贡县,[],,,开阔的草原，牛羊成群。
120,直贡梯寺,B037B02SLX,3A,风景名胜;风景名胜;寺庙道观,以北仁多岗乡雪绒河边,92.205588,30.103744,[],西藏自治区,拉萨市,墨竹工卡县,[],,https://aos-comment.amap.com/B037B02SLX/comment/24DC3560_E1A7_4C12_8402_912DB99A598B_L0_001_2000_150_1755409600149_61702269.jpg;http://store.is.autonavi.com/showpic/cb8ecb46ee78bdf017d57462cecccd17;http://store.is.autonavi.com/showpic/538f6ff53d2b75e3ee06ae1dce6c9ebc,直贡噶举派祖寺，有著名的天葬台。
121,科迦寺,B03810M3MH,3A,风景名胜;风景名胜;寺庙道观,科加乡科加村,81.270307,30.192548,13889078392,西藏自治区,阿里地区,普兰县,[],,http://store.is.autonavi.com/showpic/1fbd1b0779e265b8a0c88dfd059d0348;https://store.is.autonavi.com/showpic/c25eb704dc8216ec5c74b6ccd92ad859;http://store.is.autonavi.com/showpic/e1b7e76934642ec62fb2b64f39798272,普兰县的古寺，著名的“科迦三杰”。
122,托林寺,B0381003E8,3A,风景名胜;风景名胜;寺庙道观,托林镇西北象泉河畔,79.799802,31.480773,[],西藏自治区,阿里地区,札达县,[],,http://store.is.autonavi.com/showpic/f0436c5b6a11458db0effc5313298854;https://aos-comment.amap.com/B0381003E8/comment/content_media_external_file_1000019160_ss__1752625869586_15772682.jpg;https://aos-comment.amap.com/B0381003E8/comment/content_media_external_images_media_78041_ss__1767162755159_65260495.jpg,古格王国在阿里地区建造的第一座佛寺。
123,东嘎洞窟遗址,B0FFGT9JZU,3A,风景名胜;风景名胜相关;旅游景点,东嘎村,79.833513,31.669933,[],西藏自治区,阿里地区,札达县,[],,https://aos-comment.amap.com/B0FFGT9JZU/comment/e78bd63e20c14eb18f1c5dd2fc0fad72_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/a5138d77bba8fc00a24030e826295b24;http://store.is.autonavi.com/showpic/e150895985fc24c394eacbc069bcbeba,壁画精美，历史久远。
124,穹窿银城,B0FFJVUNS8,3A,风景名胜;风景名胜;省级景点,曲龙村西南附近,80.540358,31.061935,[],西藏自治区,阿里地区,札达县,[],,http://store.is.autonavi.com/showpic/c171fcc0b89a694ec69f6a66e1bf1f81;http://store.is.autonavi.com/showpic/e211dd2c5b02943360777fe386752db5;http://store.is.autonavi.com/showpic/cdabcce76053b498c39979b8eb82c539,传说中象雄王国的都城遗址。
125,扎日南木错北岸观景台,B0GRRSJIJ7,3A,风景名胜;风景名胜;观景点,扎日南木错,85.636776,31.031001,[],西藏自治区,阿里地区,措勤县,[],,https://aos-comment.amap.com/B0GRRSJIJ7/comment/content_media_external_images_media_248879_ss_2_1659846009012_3a17c5b4.jpg;https://aos-comment.amap.com/B0GRRSJIJ7/comment/d5f68f5627d31d1b3a3db342ac71907e_2048_2048_80.jpg;https://aos-comment.amap.com/B0GRRSJIJ7/comment/acd70feda155415e8ff1036d9a3ed4d2_2048_2048_80.jpg,观赏西藏第三大湖的绝佳位置。
126,尼洋阁,B0FFH0D29F,3A,风景名胜;风景名胜相关;旅游景点,八一镇娘乳岗,94.385698,29.617818,[],西藏自治区,林芝市,巴宜区,[],,http://store.is.autonavi.com/showpic/e8e3b0f89bd87655277d611805d105ea;http://store.is.autonavi.com/showpic/a57b104da5aa13f04365eb80e6534bcb;http://store.is.autonavi.com/showpic/e74fa77c09035edc71f130fb2b55c215,林芝的地标性建筑，藏东南文化博物馆。
127,秀巴千年古堡群,B0FFFEJHWN,3A,风景名胜;风景名胜相关;旅游景点,G4218林拉公路与秀巴停车区交叉口北约160米,93.716039,29.838037,0894-5412366;15208049202,西藏自治区,林芝市,工布江达县,[],,http://store.is.autonavi.com/showpic/93240931cbc0c6573e22854cd6489318;https://aos-comment.amap.com/B0FFFEJHWN/comment/a146888722134a944ee47703f432f13e_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/536db283418ef64a017051ac1581f927,格萨尔王时期的古堡建筑。
128,岗云杉林,B0FFL3M7HT,3A,风景名胜;风景名胜;风景名胜,巴卡村,95.560417,29.878778,13889046175,西藏自治区,林芝市,波密县,[],,https://aos-comment.amap.com/B0FFL3M7HT/comment/88e2c1c16191062bfd981568625d33ed_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFL3M7HT/comment/24aa2f6bd39551a3e13d3949f4dc12f4_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/f9eb227c500245f8a1a5b5f2e3f12596,中国最美十大森林之一。
129,加查县千年核桃树王,B0LGVHSXB8,3A,风景名胜;风景名胜;风景名胜,亚洲规模最大的千年核桃林景区西侧,92.561622,29.151539,[],西藏自治区,山南市,加查县,[],,http://store.is.autonavi.com/showpic/47c0334a66ce08f57592485e38c14633;http://store.is.autonavi.com/showpic/b051b72c3fd9925eb2a087d4ecec9e6c,古老的核桃树，见证岁月变迁。
130,拉萨山庄,B0FFKVEUJH,3A,商务住宅;住宅区;住宅区,慈觉林乡文化旅游创意园区,91.148611,29.626487,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/10166f74a1059bd199342b67bef50b9f;https://aos-comment.amap.com/B0FFKVEUJH/comment/e80c94b5ab702e90e1d3d92913bc2fbe_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFKVEUJH/comment/5c713e422479cb7cc35984f7e589a894_2048_2048_80.jpg,休闲度假山庄。
131,察隅县英雄坡纪念园,B0L2ZH3X7I,3A,风景名胜;风景名胜;风景名胜,同庆小区背后上坡台地上,97.471248,28.665813,0894-5432155,西藏自治区,林芝市,察隅县,[],,https://aos-comment.amap.com/B0L2ZH3X7I/comment/EA3AA78E_DD16_4794_B79D_B664EEF789B2_L0_001_2000_150_1758177532660_78014852.jpg;https://store.is.autonavi.com/showpic/5dca59ddebd14058e481a45766a57f4e;https://aos-comment.amap.com/B0L2ZH3X7I/comment/4C321B89_B7BE_4D8D_B8B0_4F5F99F68BA9_L0_001_2000_150_1758177532660_51365067.jpg,纪念中印边境自卫反击战牺牲烈士。
132,拉萨门巴乡德仲村下温泉,B0FFFJDI2D,2A,风景名胜;风景名胜;风景名胜,德仲村,92.167722,30.150615,[],西藏自治区,拉萨市,墨竹工卡县,[],,https://aos-comment.amap.com/B0FFFJDI2D/comment/content_media_external_images_media_1000029784_ss__1734787375917_33960054.jpg;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0FFFJDI2D/comment/content_media_external_images_media_106678.jpg;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0FFFJDI2D/comment/content_media_external_images_media_106696.jpg,著名的药用温泉。
133,思金拉措(暂停开放),B0FFHSYL1L,2A,风景名胜;风景名胜;风景名胜,318国道东,92.367481,29.774856,15726799620,西藏自治区,山南市,桑日县,[],,https://aos-comment.amap.com/B0FFHSYL1L/comment/content_media_external_images_media_1000077530_ss__1731751709824_94199184.jpg;https://aos-comment.amap.com/B0FFHSYL1L/comment/2f98bcf3fe51004648dd5c2c457ea822_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/53d85efa66855cd13cc2042b0474a8b9,著名的“财神湖”。
134,仓姑寺,B037B0OBG0,2A,风景名胜;风景名胜;寺庙道观,八廓街道林廓南路29号,91.136127,29.648001,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B037B0OBG0/comment/content_media_external_file_69707_ss__1756630975804_50083802.jpg;http://store.is.autonavi.com/showpic/5eb875b91813de593dec85a40f55d444;http://store.is.autonavi.com/showpic/837b5edd76024f90f8a7931bba268e2d,拉萨著名的尼姑寺，生活气息浓郁。
135,西藏甘露藏医药产业集团有限公司,B0FFHRSG5I,2A,公司企业;公司;医药公司,拉萨经济技术开发区林琼岗路15号行政楼3楼,91.016599,29.631584,13989091696,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/4c9f4a81b3858c211873d0591d94aebc;http://store.is.autonavi.com/showpic/fa5ae2396595166082a77fef8b5df70a;https://store.is.autonavi.com/showpic/0f7bd90ac5cb4de92ce4e1e755c134b7,知名的藏药企业。
136,西藏奇圣土特产品有限公司内部地面停车场,B0KAMU72O4,2A,交通设施服务;停车场;专用停车场,西藏奇圣土特产品有限公司鲜肉储备冻库,91.017752,29.638772,[],西藏自治区,拉萨市,堆龙德庆区,[],,,特产公司停车场。
137,西藏擦擦文化展览馆,B0FFLA9TRH,2A,科教文化服务;科教文化场所;科教文化场所,,91.15782,29.703898,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/9ef4fdd2ff21ab59df5a19380786f457;http://store.is.autonavi.com/showpic/c9bf9dedd7e173475c02f0068930dd69;http://store.is.autonavi.com/showpic/f2095c979263d4d69591b1858c388372,展示擦擦艺术。
138,西藏娃哈哈食品有限公司,B037B0O9GO,2A,公司企业;公司;公司,拉萨经济技术开发区维色路,91.011764,29.62691,0891-6159333,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/156005d23e3bb6e0727250fee588c741,知名企业在西藏的分厂。
139,聂塘卓玛拉康,B037B01C15,2A,风景名胜;风景名胜;寺庙道观,318国道聂当乡帮那村,90.948585,29.529347,[],西藏自治区,拉萨市,曲水县,[],,https://aos-comment.amap.com/B037B01C15/comment/content_media_external_file_1000019882_ss__1755131978821_19911893.jpg;http://store.is.autonavi.com/showpic/d8f134fe1bfef679e8b7702823a62f34;https://aos-comment.amap.com/B037B01C15/comment/content_media_external_file_1000019873_ss__1755131978820_29242925.jpg,供奉度母的寺庙。
140,静苑农场,B0I6J51EGP,2A,公司企业;农林牧渔基地;其它农林牧渔基地,曲水县德吉村(残疾人托养中心旁),90.994899,29.56789,13398084789,西藏自治区,拉萨市,堆龙德庆区,[],,https://store.is.autonavi.com/showpic/4c5f83698af12a3caf12b56c4090648f;http://store.is.autonavi.com/showpic/7e6575ff9993d956cbb77d11ce1469c1,休闲农场。
141,上汽MG体验中心(城关青藏路店),B0LARSY076,2A,汽车维修;名爵维修;名爵维修,青藏路2号,91.006047,29.648476,0891-6532214,西藏自治区,拉萨市,堆龙德庆区,[],,,汽车体验中心。
142,甲玛林休闲广场,B0HR0AU2KR,2A,风景名胜;公园广场;城市广场,阳岛路5号,91.117435,29.643225,[],西藏自治区,拉萨市,城关区,[],,,休闲广场。
143,雄巴拉曲大道,BZ9WK8002B,2A,地名地址信息;交通地名;道路名,堆龙德庆区,90.938855,29.641011,[],西藏自治区,拉萨市,堆龙德庆区,[],,,城市道路。
144,桑珠曲顶寺,B0G2T54CZE,2A,风景名胜;风景名胜;寺庙道观,甲措雄乡,89.012783,29.25092,[],西藏自治区,日喀则市,桑珠孜区,[],,http://store.is.autonavi.com/showpic/16fbb7e566e1c9bb37af4e1ce216af22;http://store.is.autonavi.com/showpic/f30d00cd2b964fdc2b9afa699323e2b0;http://store.is.autonavi.com/showpic/b91f1237881de10d89509bb0abd166d3,具有历史的寺庙。
145,日嘉康乐园售楼部,B0L1DUUX6M,2A,生活服务;生活服务场所;生活服务场所,东郡康萨林南门旁,91.201525,29.657425,[],西藏自治区,拉萨市,城关区,[],,,房产售楼处。
146,卡若拉冰川景区售票处,B0GUXM7H9U,2A,生活服务;售票处;公园景点售票处,热龙乡卡若拉景区,90.175154,28.890272,[],西藏自治区,日喀则市,江孜县,[],,,冰川景区服务点。
147,扎桑寺,B0FFL3C041,2A,风景名胜;风景名胜;寺庙道观,番巴村,86.965325,29.339483,[],西藏自治区,日喀则市,昂仁县,[],,http://store.is.autonavi.com/showpic/0d0eb3a068a49b2b358b677da6f57737;http://store.is.autonavi.com/showpic/5a3f544d6f62864fceda89fe96d3a084;http://store.is.autonavi.com/showpic/a4f45c645d29024d46e80f35e3820e25,古老寺庙。
148,强堆乡色热珠德寺,B0FFKZ4JG6,2A,购物服务;购物相关场所;购物相关场所,强堆乡,89.339624,29.092621,[],西藏自治区,日喀则市,白朗县,[],,http://store.is.autonavi.com/showpic/5fe3b13f8e9b0b70649df68187ac6028;http://store.is.autonavi.com/showpic/bf072841639b500d1c5d6acc3aed1c26;http://store.is.autonavi.com/showpic/cb4ec4452dcfc5cd40d060fa2add6f59,乡间寺庙。
149,参卓林寺,B0FFL839QX,2A,风景名胜;风景名胜;寺庙道观,嘎东镇马义村,89.177631,29.212593,[],西藏自治区,日喀则市,白朗县,[],,https://aos-comment.amap.com/B0FFL839QX/headerImg/d2bbefef6039ec12e52dd739b7863300_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFL839QX/headerImg/4c0fd8312a7948e17a697b07e9c42a8d_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFL839QX/headerImg/2af87c00d628f58f9c3f5234f61f378b_2048_2048_80.jpg,宗教场所。
150,亚东真桑寺,B0FFKZF9TH,2A,风景名胜;风景名胜;寺庙道观,,89.228523,28.089377,[],西藏自治区,日喀则市,亚东县,[],,http://store.is.autonavi.com/showpic/7862a9fd2c5dbab3e68bd649a9fba9e8;http://store.is.autonavi.com/showpic/1450030c0f5684d5227d6fb6dfa0e3e8;http://store.is.autonavi.com/showpic/e472f83606d6a478a4ee0bd2acec013a,亚东县寺庙。
151,聂拉木县,B037C00TT8,2A,地名地址信息;普通地名;区县级地名,聂拉木县,85.982237,28.155186,[],西藏自治区,日喀则市,聂拉木县,[],,https://aos-comment.amap.com/B037C00TT8/comment/3F20D85F_7600_496B_A1AE_EBF58D109503_L0_001_2016_151_1753890097901_41596719.jpg;https://aos-comment.amap.com/B037C00TT8/comment/content_media_external_images_media_35295_ss__1729127845984_17770598.jpg;https://aos-comment.amap.com/B037C00TT8/comment/62FC582A_3FA8_4073_8944_BCE768E9EF6F_L0_001_2000_150_1753890097916_74021935.jpg,边境县，自然风光壮美。
152,哲古湖,B037D0MLSI,2A,风景名胜;风景名胜相关;旅游景点,哲古村,91.640957,28.708907,[],西藏自治区,山南市,措美县,[],,http://store.is.autonavi.com/showpic/5be7e30c0893fb13d9b8709197ec0f86;https://aos-comment.amap.com/B037D0MLSI/comment/content_media_external_images_media_1000002874_ss__1742366681988_09790817.jpg;http://store.is.autonavi.com/showpic/1912f88b83df8bf96489565bd76f98b8,不仅有湖，周边还有草原和野生动物。
153,山南扎央宗溶洞,B0FFJ8L61F,2A,风景名胜;风景名胜;风景名胜,,91.253088,29.390838,[],西藏自治区,山南市,扎囊县,[],,https://aos-comment.amap.com/B0FFJ8L61F/comment/db491d1b82b507f661aa555107a85c78_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFJ8L61F/comment/content_media_external_file_1000022467_ss__1756128115367_55929904.jpg;https://aos-comment.amap.com/B0FFJ8L61F/comment/content_media_external_file_1000022521_ss__1756128115391_58382705.jpg,充满传奇色彩的溶洞。
154,宗贡布溶洞,B0FFF360M7,2A,风景名胜;风景名胜相关;旅游景点,,91.3105,29.370342,[],西藏自治区,山南市,扎囊县,[],,http://store.is.autonavi.com/showpic/c67c5c63d7286c27f15d8b0436591a90;https://aos-comment.amap.com/B0FFF360M7/comment/613f83fe8bc42ab05289be22e0155f4d_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFF360M7/comment/9fd502563b7786514fb79196f442b945_2048_2048_80.jpg,自然形成的溶洞奇观。
155,卡久寺,B0FFKKQDTZ,2A,风景名胜;风景名胜;寺庙道观,拉康镇,91.123212,28.090544,[],西藏自治区,山南市,洛扎县,[],,http://store.is.autonavi.com/showpic/377bb743cfab844cdf2fbabe0d78c9e9;http://store.is.autonavi.com/showpic/f56e07d3a7d3822a94e5dddcad88d85a;http://store.is.autonavi.com/showpic/54e543bc649fdb5677996aed5aa76c41,位于山巅，云雾缭绕，修行圣地。
156,莽措湖,B0LDUREF16,2A,风景名胜;风景名胜;风景名胜,,98.840405,29.534731,[],西藏自治区,昌都市,芒康县,[],,https://store.is.autonavi.com/showpic/e5e0c2fc5e123fea6ba0dbb8bd5e6087;https://store.is.autonavi.com/showpic/039a0dcd96893db8861afaeccdee21cb;https://store.is.autonavi.com/showpic/7b175ecba6e01da6d700e05233f8469a,高山湖泊，景色纯净。
157,尼果寺,B0G2ZCEJCO,2A,风景名胜;风景名胜;寺庙道观,宗西乡,98.748495,29.901992,[],西藏自治区,昌都市,芒康县,[],,http://store.is.autonavi.com/showpic/53a8066f9ba226d31dac69405e33b836;http://store.is.autonavi.com/showpic/571a452a23123294cd0b3eeb753a4dc9;http://store.is.autonavi.com/showpic/5f2e3ee337eaa49261199c4041bf99be,隐秘的寺庙。
158,鲁固商场,B0JKRX09T4,A,购物服务;家居建材市场;建材五金市场,鲁固路与鲁固二巷交叉口南20米,91.129767,29.648201,[],西藏自治区,拉萨市,城关区,[],,,购物商场。
159,帕索寺,B0FFKZFJSM,A,风景名胜;风景名胜;回教寺,西藏自治区日喀则市桑珠孜区,89.561606,29.279278,[],西藏自治区,日喀则市,桑珠孜区,[],,,寺庙。
160,长美坚寺,B0LRZ92P9D,A,风景名胜;风景名胜;寺庙道观,广场街西段与208县道交叉口西280米,89.262048,29.101524,[],西藏自治区,日喀则市,白朗县,[],,http://store.is.autonavi.com/showpic/5b2162649d51b3acc247cfa659d7fa10;http://store.is.autonavi.com/showpic/2ac155fc65089a826c307a949c646586;http://store.is.autonavi.com/showpic/790c30f2879a2ae1eec720442834c6d0,寺庙。
161,皓寺,B0FFF35T5I,A,风景名胜;风景名胜;寺庙道观,,89.444595,29.273748,[],西藏自治区,日喀则市,桑珠孜区,[],,http://store.is.autonavi.com/showpic/a59a3cd04ef40fd02970914bb77b5fa8;http://store.is.autonavi.com/showpic/c88a3dc05998f85b08ab66d7f3cfc779;http://store.is.autonavi.com/showpic/c6a035de7b4102323d181d94006adc54,寺庙。
162,索布康,B0FFJ0G82L,A,风景名胜;风景名胜相关;旅游景点,北京西路276号哲蚌寺内,91.0505,29.673722,[],西藏自治区,拉萨市,城关区,[],,,地名或建筑。
163,南木林县森都寺,B0FFLEW46G,A,风景名胜;风景名胜;寺庙道观,西藏自治区日喀则市南木林县,89.269757,29.670647,[],西藏自治区,日喀则市,南木林县,[],,,南木林县的寺庙。
164,雄雄金刚寺,B0FFLEVX2Z,A,风景名胜;风景名胜;寺庙道观,,89.139627,29.674223,[],西藏自治区,日喀则市,南木林县,[],,,寺庙。
165,达那寺,B0LUOHGG80,A,生活服务;生活服务场所;生活服务场所,圭仓朵村附近,92.694086,31.427583,[],西藏自治区,那曲市,色尼区,[],,http://store.is.autonavi.com/showpic/cb4dbfffc399eee0e7a6159aae3e3b8f;http://store.is.autonavi.com/showpic/fb584038745b227761b76fbb32549781;http://store.is.autonavi.com/showpic/30bd4c8dcf7b102d061fcfe3c27143cc,寺庙。
166,热龙寺,B037C0OTLJ,A,风景名胜;风景名胜;风景名胜,热龙乡,90.101538,28.830371,[],西藏自治区,日喀则市,江孜县,[],,https://store.is.autonavi.com/showpic/d32321100cfef5db913c9133721a5e6b;https://store.is.autonavi.com/showpic/411cb356676673ba93d028af0aba512d;https://store.is.autonavi.com/showpic/4cae9c3dce50dcd960426bbff220b47d,寺庙。
167,聂拉木县,B037C00TT8,A,地名地址信息;普通地名;区县级地名,聂拉木县,85.982237,28.155186,[],西藏自治区,日喀则市,聂拉木县,[],,https://aos-comment.amap.com/B037C00TT8/comment/3F20D85F_7600_496B_A1AE_EBF58D109503_L0_001_2016_151_1753890097901_41596719.jpg;https://aos-comment.amap.com/B037C00TT8/comment/content_media_external_images_media_35295_ss__1729127845984_17770598.jpg;https://aos-comment.amap.com/B037C00TT8/comment/62FC582A_3FA8_4073_8944_BCE768E9EF6F_L0_001_2000_150_1753890097916_74021935.jpg,边境县，自然风光壮美。
