序号,景区名称,高德ID,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔)
1,西藏博物馆,B037B00866,科教文化服务;博物馆;博物馆,罗布林卡路34号,91.098894,29.648382,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/92dbc5423b126b7884d1295077870f6d
2,介观当代艺术博物馆,B0FFKMLHZO,科教文化服务;科教文化场所;科教文化场所,两岛街道滨河路2期,91.135325,29.63824,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFKMLHZO/comment/AA53EE19_5246_4CF6_9C59_1C1C281EFA6A_L0_001_2000_133_1750231190390_72404282.jpg
3,西藏非物质文化遗产博物馆,B0JD7N9FKT,科教文化服务;博物馆;博物馆,102乡道拉萨河畔慈觉林文城大道,91.147427,29.625187,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0JD7N9FKT/comment/content_media_external_images_media_1000188846_ss__1727329152509_76208824.jpg
4,西藏牦牛博物馆,B0G1JK4G6U,科教文化服务;博物馆;博物馆,柳梧乡柳梧新区察古大道16号,91.088343,29.620262,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/30ffb6effdfae76ad3ae07424fa8a3bf
5,西藏藏经博物馆,B0FFJS5XWD,科教文化服务;科教文化场所;科教文化场所,钟彬诊所北侧120米,91.14049,29.620828,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFJS5XWD/comment/content_media_external_images_media_1000037489_ss__1728802306305_62439398.jpg
6,西藏自然科学博物馆,B0FFH4SLBL,科教文化服务;博物馆;博物馆,纳金街道藏大东路9号,91.182052,29.646855,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/fe41f27428bb2020ebef8f347f6d616a
7,颠倒博物馆(拉萨店),B0L2HZAXRI,科教文化服务;博物馆;博物馆,功德林天街2层,91.109276,29.654846,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/72b4f646abf45ba3b356ff9128a38440
8,唐卡之都博物馆,B0G17RYZJY,科教文化服务;博物馆;博物馆,鲁固一巷夏扎大院内,91.133736,29.648358,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/1223e466d09e77dd82d68de268845319
9,西藏工业博物馆,B0HKHUBPNT,科教文化服务;博物馆;博物馆,北京西路133号(原拉萨老水泥厂),91.041007,29.65247,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/321c942aacc044ebc1c70f4009e76561
10,群觉古代兵器博物馆,B0FFL24NDB,科教文化服务;博物馆;博物馆,甲玛乡龙达村,91.661614,29.763304,,西藏自治区,拉萨市,,,,
11,藏王陵博物馆,B0G15RNQ4D,科教文化服务;博物馆;博物馆,藏王墓景区,91.682033,29.020378,,西藏自治区,山南市,,,,https://aos-comment.amap.com/B0G15RNQ4D/comment/content_media_external_file_1000066673_ss__1757393011050_00490482.jpg
12,博秀·西藏唐卡艺术博物馆,B0J2KS6JFV,科教文化服务;博物馆;博物馆,达瓦路e区,91.133773,29.618049,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0J2KS6JFV/comment/112ef0fb6afb662d2a4c8c575adb6cc3_2048_2048_80.jpg
13,西藏次仁切阿雪山博物馆,B0FFJH6VLG,科教文化服务;科教文化场所;科教文化场所,夺底乡夺底北路夺底一村柒木家具厂隔壁,91.149807,29.688792,,西藏自治区,拉萨市,,,,http://aos-cdn-image.amap.com/sns/ugccomment/b3cb5e8d-c8fa-4fb0-95e3-fcf207c430b6.jpg
14,山南市博物馆,B0G1TATR4G,科教文化服务;博物馆;博物馆,泽当镇郭莎社区,91.768468,29.189512,,西藏自治区,山南市,,,,https://aos-comment.amap.com/B0G1TATR4G/comment/file_media_Photo_27950_IMG_1753160720_23626_IMG_20250722_130340_jpg_ss_2.jpg
15,拉萨民族文化艺术宫,B037B00CFF,科教文化服务;文化宫;文化宫,太阳岛二路20号中和国际城,91.114203,29.644594,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/b9f7e529fabfd182af9e7065774aad69
16,徽韵科技文化中心,B0FFHO77DN,科教文化服务;科教文化场所;科教文化场所,湖北大道雅砻河酒店斜对面,91.762231,29.231604,,西藏自治区,山南市,,,,https://aos-comment.amap.com/default_poi/comment/EEA53753_14BE_4A3A_8771_A2823432429B_L0_001_1500_200_1765279171423_13188028.jpg
17,西藏唐卡文化艺术创作园区,B0FFLF39NE,商务住宅;产业园区;产业园区|风景名胜;风景名胜相关;旅游景点,金牛加油站旁边,91.134367,29.618247,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFLF39NE/headerImg/7ee15b07a287b24e6dcc3ec66826e323_2048_2048_80.jpg
18,西藏自治区总工会劳动人民文化宫,B0FFHWOL8A,科教文化服务;文化宫;文化宫,纳金乡西藏自治区总工会藏大路,91.15932,29.644829,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/e9e9104d796a10b0137d92bc9ad63f6f
19,山南市文化艺术中心,B0LAMCWJ45,科教文化服务;文化宫;文化宫,香曲西路与格桑路交叉口北140米,91.766825,29.240975,,西藏自治区,山南市,,,,
20,才纳乡白堆村五组文化室,B0FFF5QQ8J,科教文化服务;文化宫;文化宫,122乡道西北侧,90.970553,29.494949,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/52b7f0540620dc0d5838cc1420bb75e4
21,乃东区泽当街道办事处文化站,B0IU7NC50N,政府机构及社会团体;政府机关;乡镇级政府及事业单位,藏源小区南侧160米,91.776781,29.239024,,西藏自治区,山南市,,,,http://store.is.autonavi.com/showpic/cc0a0aa102503cab92faa088c6c5ce37
22,羊达街道办事处综合文化站,B0H2AU5W80,政府机构及社会团体;政府机关;乡镇级政府及事业单位,羊达街道办事处西南门东50米,90.952455,29.663039,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/71bdd6e09e434fca578d6c531fee05f5
23,山南藏医药文化馆,B0L6993XT4,科教文化服务;科教文化场所;科教文化场所,山南藏医医院南门旁,91.772403,29.240392,,西藏自治区,山南市,,,,https://store.is.autonavi.com/showpic/73fb15fceef6108092abff9a140aed66
24,拉萨市群众文化体育中心,B037B0OZK5,体育休闲服务;运动场馆;综合体育馆,娘热乡,91.090361,29.619705,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B037B0OZK5/comment/content_media_external_file_1000049103_ss__1759075555671_87662816.jpg
25,柳梧新区体育馆,B0FFL51DFH,体育休闲服务;运动场馆;综合体育馆,奥体大街与东环路交叉口南280米,91.090739,29.620348,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFL51DFH/comment/content_media_external_images_media_1000002763_ss__1728031247938_88070777.jpg
26,山南市体育场,B037D0ML6S,体育休闲服务;运动场馆;综合体育馆,湖北大道10号,91.766608,29.229652,,西藏自治区,山南市,,,,https://aos-comment.amap.com/B037D0ML6S/comment/7DF43774_CA11_42FC_AF09_2A39C3E5CDBF_L0_001_1080_57_1761573892519_34543796.jpg
27,西藏自治区游泳馆,B037B0OOM4,体育休闲服务;运动场馆;游泳馆,娘热乡扎基中路16号,91.132489,29.675119,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B037B0OOM4/headerImg/a40770ed2296ea362a6bad78defa1611_2048_2048_80.jpg
28,西藏体育馆,B037B01814,体育休闲服务;运动场馆;综合体育馆,娘热路27号,91.123618,29.678312,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/f064a442de0bfce92dc878d50b594029
29,西藏自治区图书馆,B037B01A61,科教文化服务;图书馆;图书馆,罗布林卡路25号,91.098421,29.650529,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B037B01A61/comment/content_media_external_images_media_1000023766_ss__1739514113726_71768175.jpg
30,拉萨市图书馆,B0JRAAJNN4,科教文化服务;图书馆;图书馆,,91.182763,29.654071,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0JRAAJNN4/comment/ECED1676_E9A6_4877_B560_8B7BA413DC4D_L0_001_1500_200_1757661630798_51377675.jpg
31,拉萨市24小时无人自助智慧图书馆,B0K32M8FAO,科教文化服务;图书馆;图书馆,江苏大道与岗廓路交叉口西北260米,91.182822,29.653751,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/a1c41289fdca3acc21644c9407e782d0
32,拉萨市堆龙德庆区图书馆,B0LG9RTG5H,科教文化服务;图书馆;图书馆,北京西路157号,91.01551,29.647814,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/da252caebaf74cea3121c87ec289651c
33,山南图书馆,B0FFIHKE7K,科教文化服务;科教文化场所;科教文化场所,湖北大道与民族路交叉口西北260米,91.761718,29.231794,,西藏自治区,山南市,,,,https://aos-comment.amap.com/B0FFIHKE7K/comment/6a6d66d84086de0878b75cf49ea06b5f_2048_2048_80.jpg
34,色拉色昭图书馆,B0KK0UZO93,科教文化服务;图书馆;图书馆,色拉北路27号,91.135511,29.689958,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/a78904bf2bd437568f131860b6da9ff2
35,西藏大学图书馆,B037B0OP30,科教文化服务;图书馆;图书馆,藏大东路西藏大学(纳金校区),91.180411,29.64324,,西藏自治区,拉萨市,,,,
36,吉本岗艺术中心,B0HRY7FBVN,科教文化服务;科教文化场所;科教文化场所,小昭寺路与北京东路交叉路口东北侧,91.133843,29.653107,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0HRY7FBVN/comment/content_media_external_file_1000088192_ss__1760864583880_94156081.jpg
37,西藏自治区群众艺术馆,B037B0OADU,科教文化服务;展览馆;展览馆,朵森格路2号,91.129186,29.647599,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/552e4d90a310bf9c5ec4f542
38,拉萨规划建设展览馆,B037B0OZSR,科教文化服务;展览馆;展览馆,嘎玛贡桑街道,91.181417,29.652948,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/dadefe6267d210143bd0f5c114ee0a48
39,西藏藏医药文化博览中心,B037B0OCUD,科教文化服务;展览馆;展览馆,罗堆西路世邦拉萨印象小区,91.071925,29.648425,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/7258381e0edd8dbdb30d4cb33d923479
40,郎孜夏陈列馆,B0FFIK9VUC,科教文化服务;展览馆;展览馆,八廓北街朗孜夏大院(大昭寺北),91.134032,29.650877,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFIK9VUC/comment/3644f2ff6d092982f6f8be7f96bfa4e3_2048_2048_80.jpg
41,西藏擦擦文化展览馆,B0FFLA9TRH,科教文化服务;科教文化场所;科教文化场所,,91.15782,29.703898,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/9ef4fdd2ff21ab59df5a19380786f457
42,西藏文化广电艺术中心,B0JGKOSTZX,科教文化服务;科教文化场所;科教文化场所,藏大东路9号,91.182114,29.649302,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/97db27d07bb89711200a49213b8e81d7
43,西藏美术馆,B0FFMA1XJ4,科教文化服务;美术馆;美术馆,北京西路133号,91.041419,29.653645,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0FFMA1XJ4/comment/66906b87da5e6cce4ba08acaf44826cf_2048_2048_80.jpg
44,布达拉宫珍宝馆,B037B0OK3J,科教文化服务;展览馆;展览馆,布达拉宫-雪城,91.119558,29.654128,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/a1a1e3164bf9aa9365f1f3ba99d15ead
45,西藏金马演艺中心,B0FFG7GKXK,体育休闲服务;影剧院;剧场|体育休闲服务;娱乐场所;娱乐场所,纳金路60号(希尔顿酒店)对面,91.142342,29.657877,,西藏自治区,拉萨市,,,19;30-04;00,https://aos-comment.amap.com/B0FFG7GKXK/comment/content_media_external_images_media_31476_ss__1729144616437_51595599.jpg
46,西藏大剧院,B0J01U4I8U,体育休闲服务;影剧院;剧场,岗廓路1号,91.182145,29.650477,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B0J01U4I8U/comment/f336a2853d2c6df6a8a0cdd8ce6402cd_2048_2048_80.jpg
47,乡巴拉演艺中心,B0G3M93T81,体育休闲服务;影剧院;剧场,格桑路与当热中路交叉口东南40米,91.128852,29.664118,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/2b83fe2b1206cada63bc3d66b6e57d54
48,尼威民族歌剧院,B037B0OP3B,体育休闲服务;影剧院;剧场,林廓北路,91.130554,29.658237,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/19735f89fbaf74031e785d3b51a7776e
49,雅砻剧院,B037D002NT,体育休闲服务;影剧院;剧场,湖北大道26号,91.763692,29.233719,,西藏自治区,山南市,,,10;00-24;00,http://store.is.autonavi.com/showpic/6d3de74c114f725c66d8ea40c98b5a34
50,藏戏艺术中心,B037B0OQKI,体育休闲服务;影剧院;剧场,北京西路27号,91.085405,29.659229,,西藏自治区,拉萨市,,,,https://aos-comment.amap.com/B037B0OQKI/comment/content_media_external_images_media_31208_ss__1727938110747_52086014.jpg
51,扎西雅卓演艺中心,B0K16L1XOL,体育休闲服务;影剧院;剧场,扎细街道扎细新村7号附5号,91.140804,29.66911,,西藏自治区,拉萨市,,,10;30-05;30,http://store.is.autonavi.com/showpic/424e5ff1a75b0d1babd19e1d08727371
52,宗巴勒演艺中心,B0LGBS0JSO,体育休闲服务;体育休闲服务场所;体育休闲服务场所,当热东路15号,91.148231,29.662949,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/8c297cb7e8b4351764af1bbdad293a90
53,甜蜜蜜演艺中心,B0LR46PB90,体育休闲服务;影剧院;剧场,嘎则新区扎西岗路2号,91.734453,29.851744,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/b30d264fcd7f1ba2d971a3b4391fc4d8
54,藏地多康演艺中心,B0LR69GYZX,体育休闲服务;体育休闲服务场所;体育休闲服务场所,巴尔库路3106号,91.118206,29.67689,,西藏自治区,拉萨市,,,,http://store.is.autonavi.com/showpic/f177fcb4abcaa4c0cfd674b4010bddeb
55,央达尼默演艺中心,B0LRFK68TE,体育休闲服务;影剧院;剧场,扎基中路26号,91.131725,29.673975,,西藏自治区,拉萨市,,,11;00-07;00,https://store.is.autonavi.com/showpic/332b924ba085a7074b1aa81101ce6504
56,拉萨市民族大舞台,B0LDK6IQ61,体育休闲服务;影剧院;剧场,当热东路与夺底中路交叉口东200米,91.143475,29.663475,,西藏自治区,拉萨市,,,,https://store.is.autonavi.com/showpic/9b972f54faaff68d0fd4fbcd9672a2f7
57,润锦剧院(拉萨王府井店),B0LB3RBN62,体育休闲服务;影剧院;剧场,北京大道10号拉萨王府井购物中心F5层,91.079925,29.624775,,西藏自治区,拉萨市,,,15;00-23;45,http://store.is.autonavi.com/showpic/e42a4ecc1367bc7dbc9e273d495bf530
